transaction_id,customer_id,amount,quantity,discount_pct,category,region,created_at
TRX-000000,CUST-8270,125.17,7,0.27,Software,Americas,2024-01-01 00:00:00
TRX-000001,CUST-1860,76.49,7,0.15,Hardware,LATAM,2024-01-01 00:01:00
TRX-000002,CUST-6390,24.24,4,0.23,Software,APAC,2024-01-01 00:02:00
TRX-000003,CUST-6191,196.83,5,0.2,Hardware,LATAM,2024-01-01 00:03:00
TRX-000004,CUST-6734,26.48,5,0.07,Hardware,APAC,2024-01-01 00:04:00
TRX-000005,CUST-7265,165.52,1,0.17,Cloud Services,LATAM,2024-01-01 00:05:00
TRX-000006,CUST-1466,100.07,3,0.09,Software,APAC,2024-01-01 00:06:00
TRX-000007,CUST-5426,68.5,5,0.29,Hardware,Americas,2024-01-01 00:07:00
TRX-000008,CUST-6578,123.92,5,0.25,Hardware,LATAM,2024-01-01 00:08:00
TRX-000009,CUST-9322,187.6,6,0.26,Consulting,Americas,2024-01-01 00:09:00
TRX-000010,CUST-2685,349.91,1,0.29,Cloud Services,Americas,2024-01-01 00:10:00
TRX-000011,CUST-1769,46.9,6,0.03,Cloud Services,Americas,2024-01-01 00:11:00
TRX-000012,CUST-7949,362.79,5,0.07,Hardware,APAC,2024-01-01 00:12:00
TRX-000013,CUST-3433,399.14,9,0.18,Cloud Services,APAC,2024-01-01 00:13:00
TRX-000014,CUST-6311,211.6,4,0.0,Cloud Services,APAC,2024-01-01 00:14:00
TRX-000015,CUST-6051,265.88,6,0.04,Cloud Services,LATAM,2024-01-01 00:15:00
TRX-000016,CUST-7420,151.49,7,0.13,Software,EMEA,2024-01-01 00:16:00
TRX-000017,CUST-2184,14.79,2,0.22,Cloud Services,APAC,2024-01-01 00:17:00
TRX-000018,CUST-5555,112.7,6,0.26,Cloud Services,EMEA,2024-01-01 00:18:00
TRX-000019,CUST-4385,175.02,5,0.19,Consulting,APAC,2024-01-01 00:19:00
TRX-000020,CUST-7396,351.06,8,0.04,Hardware,Americas,2024-01-01 00:20:00
TRX-000021,CUST-9666,111.4,6,0.03,Cloud Services,Americas,2024-01-01 00:21:00
TRX-000022,CUST-3558,199.7,4,0.15,Consulting,LATAM,2024-01-01 00:22:00
TRX-000023,CUST-8849,156.51,1,0.23,Cloud Services,Americas,2024-01-01 00:23:00
TRX-000024,CUST-3047,49.55,3,0.03,Software,APAC,2024-01-01 00:24:00
TRX-000025,CUST-3747,30.17,3,0.07,Consulting,LATAM,2024-01-01 00:25:00
TRX-000026,CUST-1189,176.79,9,0.12,Consulting,APAC,2024-01-01 00:26:00
TRX-000027,CUST-3734,41.95,6,0.18,Hardware,EMEA,2024-01-01 00:27:00
TRX-000028,CUST-4005,43.68,7,0.22,Hardware,APAC,2024-01-01 00:28:00
TRX-000029,CUST-5658,133.92,7,0.16,Software,LATAM,2024-01-01 00:29:00
TRX-000030,CUST-2899,196.75,2,0.12,Software,EMEA,2024-01-01 00:30:00
TRX-000031,CUST-8734,114.77,2,0.01,Hardware,LATAM,2024-01-01 00:31:00
TRX-000032,CUST-2267,269.52,5,0.09,Hardware,Americas,2024-01-01 00:32:00
TRX-000033,CUST-2528,38.51,2,0.11,Software,APAC,2024-01-01 00:33:00
TRX-000034,CUST-4556,44.91,4,0.03,Consulting,Americas,2024-01-01 00:34:00
TRX-000035,CUST-4890,131.59,1,0.14,Software,LATAM,2024-01-01 00:35:00
TRX-000036,CUST-9838,222.19,9,0.19,Cloud Services,EMEA,2024-01-01 00:36:00
TRX-000037,CUST-6393,103.01,8,0.21,Software,EMEA,2024-01-01 00:37:00
TRX-000038,CUST-9792,11.25,2,0.14,Hardware,EMEA,2024-01-01 00:38:00
TRX-000039,CUST-9433,145.59,9,0.04,Hardware,LATAM,2024-01-01 00:39:00
TRX-000040,CUST-8513,211.57,7,0.17,Software,APAC,2024-01-01 00:40:00
TRX-000041,CUST-3612,48.85,9,0.05,Software,APAC,2024-01-01 00:41:00
TRX-000042,CUST-8041,16.69,4,0.08,Consulting,APAC,2024-01-01 00:42:00
TRX-000043,CUST-7235,97.57,4,0.04,Software,LATAM,2024-01-01 00:43:00
TRX-000044,CUST-6486,15.17,2,0.03,Hardware,EMEA,2024-01-01 00:44:00
TRX-000045,CUST-8099,74.55,5,0.05,Consulting,Americas,2024-01-01 00:45:00
TRX-000046,CUST-1775,12.16,2,0.12,Hardware,APAC,2024-01-01 00:46:00
TRX-000047,CUST-9226,40.58,7,0.13,Hardware,APAC,2024-01-01 00:47:00
TRX-000048,CUST-4152,69.08,4,0.19,Software,LATAM,2024-01-01 00:48:00
TRX-000049,CUST-2585,24.21,9,0.03,Cloud Services,EMEA,2024-01-01 00:49:00
TRX-000050,CUST-4943,24.55,7,0.1,Consulting,EMEA,2024-01-01 00:50:00
TRX-000051,CUST-8555,220.58,2,0.23,Cloud Services,LATAM,2024-01-01 00:51:00
TRX-000052,CUST-4073,15.08,8,0.26,Software,LATAM,2024-01-01 00:52:00
TRX-000053,CUST-2021,150.14,9,0.18,Cloud Services,LATAM,2024-01-01 00:53:00
TRX-000054,CUST-4843,212.15,6,0.26,Hardware,LATAM,2024-01-01 00:54:00
TRX-000055,CUST-8989,26.81,4,0.12,Consulting,LATAM,2024-01-01 00:55:00
TRX-000056,CUST-7873,36.08,6,0.03,Consulting,Americas,2024-01-01 00:56:00
TRX-000057,CUST-6675,133.1,3,0.2,Software,EMEA,2024-01-01 00:57:00
TRX-000058,CUST-1161,55.51,4,0.22,Hardware,APAC,2024-01-01 00:58:00
TRX-000059,CUST-5297,87.65,7,0.03,Cloud Services,EMEA,2024-01-01 00:59:00
TRX-000060,CUST-1995,226.95,5,0.04,Cloud Services,Americas,2024-01-01 01:00:00
TRX-000061,CUST-8629,27.82,7,0.0,Software,Americas,2024-01-01 01:01:00
TRX-000062,CUST-2016,126.0,8,0.19,Consulting,EMEA,2024-01-01 01:02:00
TRX-000063,CUST-8869,352.5,8,0.11,Consulting,APAC,2024-01-01 01:03:00
TRX-000064,CUST-7439,17.1,4,0.13,Consulting,APAC,2024-01-01 01:04:00
TRX-000065,CUST-8892,17.43,4,0.02,Consulting,EMEA,2024-01-01 01:05:00
TRX-000066,CUST-7863,107.09,3,0.0,Cloud Services,EMEA,2024-01-01 01:06:00
TRX-000067,CUST-8916,396.49,2,0.11,Software,EMEA,2024-01-01 01:07:00
