deal_id,sales_rep,region,stage,deal_amount,profit,discount_pct,closed_date
DEAL-0001,Bob Jones,EMEA,Closed Lost,17803.07,6631.02,18.4,2025-11-24
DEAL-0002,Evan Wright,LATAM,Closed Won,90176.79,28280.34,0.7,2025-12-13
DEAL-0003,Evan Wright,EMEA,Negotiation,31756.0,10498.71,10.5,2025-04-22
DEAL-0004,Alice Smith,EMEA,Qualified,72765.55,28584.43,8.5,2025-08-18
DEAL-0005,Alice Smith,North America,Qualified,29761.08,11280.88,2.4,2025-03-21
DEAL-0006,Diana Prince,North America,Qualified,74428.49,29186.28,2.0,2025-06-26
DEAL-0007,Carlos Ray,EMEA,Closed Won,100381.54,33683.62,1.1,2025-05-31
DEAL-0008,Bob Jones,North America,Qualified,93902.86,41839.96,6.9,2025-04-27
DEAL-0009,Carlos Ray,EMEA,Proposal,100922.7,20063.05,17.5,2025-11-22
DEAL-0010,Bob Jones,EMEA,Closed Lost,79524.07,26460.78,11.6,2025-12-16
DEAL-0011,Evan Wright,EMEA,Proposal,118795.19,40627.95,21.1,2025-05-19
DEAL-0012,Carlos Ray,LATAM,Proposal,31340.53,5002.89,1.7,2025-01-29
DEAL-0013,Diana Prince,LATAM,Qualified,105782.28,25853.55,3.6,2025-10-18
DEAL-0014,Carlos Ray,LATAM,Negotiation,33362.16,10622.86,10.0,2025-03-13
DEAL-0015,Diana Prince,North America,Closed Won,119692.46,22921.05,21.5,2025-04-23
DEAL-0016,Diana Prince,North America,Qualified,77156.29,29907.62,9.5,2025-03-20
DEAL-0017,Alice Smith,North America,Negotiation,65848.15,29060.34,18.8,2025-08-28
DEAL-0018,Bob Jones,LATAM,Closed Won,44120.18,10502.81,23.8,2025-11-25
DEAL-0019,Evan Wright,North America,Proposal,116767.13,44206.71,21.0,2025-05-15
DEAL-0020,Bob Jones,North America,Negotiation,75031.57,14695.07,8.1,2025-09-17
DEAL-0021,Carlos Ray,EMEA,Closed Won,17864.79,4625.09,6.0,2025-01-10
DEAL-0022,Diana Prince,North America,Negotiation,113899.19,20011.64,19.1,2025-10-18
DEAL-0023,Bob Jones,APAC,Negotiation,80871.34,35102.58,21.8,2025-03-07
DEAL-0024,Bob Jones,APAC,Qualified,115901.73,49684.06,24.9,2025-08-05
DEAL-0025,Diana Prince,North America,Closed Lost,47943.36,20130.66,5.6,2025-11-29
DEAL-0026,Evan Wright,EMEA,Closed Won,7418.94,2345.69,1.8,2025-06-23
DEAL-0027,Alice Smith,APAC,Closed Won,11770.48,2003.57,12.9,2025-11-20
